City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
110,cabo san lucas,22.8909,-109.9124,73.71,61,0,5.75,MX,1675732335
111,taborfalva,47.0994,19.4784,21.47,63,2,5.53,HU,1675732335
112,liure,13.5358,-87.0919,77.18,48,0,7.0,HN,1675732336
113,kiama,-34.6833,150.8667,77.0,87,90,2.66,AU,1675732337
114,port hedland,-20.3167,118.5667,89.65,62,84,5.75,AU,1675731961
115,madaoua,14.073,5.96,70.57,14,100,10.11,NE,1675732092
116,fuquay-varina,35.5843,-78.8,47.97,65,0,1.99,US,1675732338
117,saskylakh,71.9167,114.0833,-33.7,100,100,2.17,RU,1675732339
118,husavik,66.0449,-17.3389,29.21,61,11,18.92,IS,1675732340
119,worthington,40.0931,-83.018,33.57,83,75,6.91,US,1675732252
120,bengkulu,-3.8004,102.2655,76.87,80,99,5.32,ID,1675732341
121,matara,5.9485,80.5353,75.06,89,100,4.41,LK,1675732341
122,estelle,29.8458,-90.1067,64.4,77,75,8.01,US,1675732342
123,bluff,-46.6,168.3333,57.85,75,35,30.4,NZ,1675732343
124,fukue,32.6881,128.8419,54.09,89,100,18.95,JP,1675732343
125,college,64.8569,-147.8028,17.58,77,75,3.44,US,1675732344
126,ketchikan,55.3422,-131.6461,42.78,75,40,0.0,US,1675732233
127,sanica,44.6142,16.6411,22.12,87,65,1.9,BA,1675732345
128,collie,-33.3667,116.15,68.58,63,100,7.29,AU,1675732345
129,mahanoro,-19.9,48.8,73.31,93,100,0.87,MG,1675732346
130,oktyabrskoye,43.0645,44.7417,21.34,92,100,6.71,RU,1675732255
131,leningradskiy,69.3833,178.4167,-23.84,97,100,8.72,RU,1675732347
132,bambous virieux,-20.3428,57.7575,76.21,78,81,14.32,MU,1675732348
133,cascais,38.6979,-9.4215,52.93,55,0,14.0,PT,1675732348
134,rognan,67.0953,15.3878,46.89,99,100,6.8,NO,1675732349
135,codrington,-38.2667,141.9667,65.3,64,73,12.5,AU,1675732350
136,lavrentiya,65.5833,-171.0,-13.02,88,72,5.88,RU,1675732179
137,fortuna,40.5982,-124.1573,50.67,73,0,9.22,US,1675732351
138,namibe,-15.1961,12.1522,70.14,80,89,5.12,AO,1675732188
139,havoysund,70.9963,24.6622,43.03,94,100,38.54,NO,1675732352
140,victoria,22.2855,114.1577,70.25,87,41,5.01,HK,1675732339
141,grand gaube,-20.0064,57.6608,76.37,82,24,1.01,MU,1675732353
142,klaksvik,62.2266,-6.589,41.92,63,60,30.04,FO,1675732189
143,caravelas,-17.7125,-39.2481,77.58,86,0,8.75,BR,1675732337
144,do gonbadan,30.3586,50.7981,55.47,75,100,9.82,IR,1675732354
145,iqaluit,63.7506,-68.5145,-34.78,95,99,5.61,CA,1675732355
146,olafsvik,64.8945,-23.7142,33.31,60,100,42.03,IS,1675732247
147,el cano,8.4,-80.5167,75.74,85,2,11.45,PA,1675732356
148,chokurdakh,70.6333,147.9167,-29.4,100,97,2.13,RU,1675732167
149,dingle,10.9995,122.6711,80.44,80,100,11.41,PH,1675732195
150,locri,38.2414,16.2623,39.33,60,14,6.53,IT,1675732357
151,pitimbu,-7.4706,-34.8086,77.59,69,60,9.84,BR,1675732358
152,kirkenaer,60.4564,12.0582,31.37,97,100,0.85,NO,1675732358
153,kindu,-2.95,25.95,68.38,98,100,2.04,CD,1675732359
154,oriximina,-1.7656,-55.8661,74.43,93,82,3.78,BR,1675732359
155,buin,-33.7333,-70.75,81.43,51,0,3.44,CL,1675732360
156,arraial do cabo,-22.9661,-42.0278,76.32,90,98,3.02,BR,1675732361
157,kemin,42.7846,75.6892,24.24,86,100,5.44,KG,1675732361
158,matay,28.419,30.7792,47.82,52,92,6.22,EG,1675732358
159,chebarkul,54.9749,60.3633,10.62,97,100,2.04,RU,1675732362
160,diego de almagro,-26.3667,-70.05,69.22,53,43,5.37,CL,1675732364
161,sao joao da barra,-21.6403,-41.0511,76.35,91,99,0.18,BR,1675732185
162,ormara,25.2088,64.6357,71.71,40,2,5.93,PK,1675732184
163,loma bonita,8.3833,-80.1667,81.79,84,1,15.99,PA,1675732366
164,katsuura,35.1333,140.3,53.8,59,57,6.2,JP,1675732367
165,santa vitoria do palmar,-33.5189,-53.3681,69.78,77,31,6.08,BR,1675732729
166,wanlaweyn,2.6185,44.8938,74.26,82,25,13.49,SO,1675732730
167,choya,52.0108,86.5467,15.19,96,100,2.77,RU,1675732731
168,severnoye,56.3491,78.3619,8.04,98,100,2.8,RU,1675732731
169,hasaki,35.7333,140.8333,55.29,53,100,5.41,JP,1675732732
170,hearst,49.6835,-83.6665,21.45,84,100,12.73,CA,1675732732
171,kungurtug,50.5994,97.5228,-16.55,99,31,1.9,RU,1675732733
172,mbala,-8.8402,31.3659,59.43,93,100,0.58,ZM,1675732734
173,gat,31.61,34.7642,52.48,100,100,24.16,IL,1675732734
174,cherskiy,68.75,161.3,-33.61,99,100,4.79,RU,1675732735
175,dikson,73.5069,80.5464,-25.11,100,100,4.85,RU,1675732736
176,faanui,-16.4833,-151.75,81.27,76,9,14.14,PF,1675732202
177,saint-philippe,-21.3585,55.7679,76.59,85,67,11.07,RE,1675732737
178,irtyshskiy,58.3333,68.1333,8.22,96,100,5.08,RU,1675732738
179,belyy yar,53.6039,91.3903,-9.51,84,40,0.0,RU,1675732254
180,speightstown,13.25,-59.65,79.41,74,100,19.13,BB,1675732739
181,avarua,-21.2078,-159.775,84.25,79,20,11.5,CK,1675732740
182,brae,60.3964,-1.353,47.01,86,100,26.24,GB,1675732316
183,allonnes,47.9674,0.1581,35.64,80,0,3.44,FR,1675732741
184,esperance,-33.8667,121.9,71.42,77,0,18.97,AU,1675732742
185,jamestown,42.097,-79.2353,30.02,94,100,4.61,US,1675732487
186,jawhar,2.7809,45.5005,73.24,84,8,12.28,SO,1675732743
187,poum,-20.2333,164.0167,81.68,81,100,14.76,NC,1675732205
188,bredasdorp,-34.5322,20.0403,67.91,95,36,1.97,ZA,1675732744
189,bandarbeyla,9.4942,50.8122,74.07,76,76,10.09,SO,1675732267
190,mahajanga,-15.7167,46.3167,73.42,100,40,3.44,MG,1675732745
191,ilulissat,69.2167,-51.1,-0.38,78,100,4.61,GL,1675732277
192,port hardy,50.6996,-127.4199,46.71,96,100,11.01,CA,1675732187
193,batemans bay,-35.7167,150.1833,70.11,84,100,5.03,AU,1675732197
194,cidreira,-30.1811,-50.2056,73.99,78,0,8.05,BR,1675732263
195,balad,34.0164,44.1453,55.49,44,100,6.64,IQ,1675732747
196,airai,-8.9266,125.4092,69.39,72,60,3.89,TL,1675732256
197,chumikan,54.7183,135.315,-7.62,72,100,6.08,RU,1675732748
198,kununurra,-15.7667,128.7333,89.58,51,98,5.75,AU,1675732749
199,norman wells,65.282,-126.8329,-12.96,77,75,3.44,CA,1675732589
200,kaitangata,-46.2817,169.8464,62.26,70,100,9.71,NZ,1675732750
201,mount pleasant,32.7941,-79.8626,52.0,82,0,0.0,US,1675732750
202,geraldton,-28.7667,114.6,73.81,64,75,14.97,AU,1675732282
203,bilibino,68.0546,166.4372,-30.86,98,100,1.48,RU,1675732751
204,ust-shonosha,61.1531,41.343,1.83,98,65,5.37,RU,1675732752
205,rudbar,30.15,62.6,55.33,27,10,9.71,AF,1675732753
206,touros,-5.1989,-35.4608,79.29,78,25,10.87,BR,1675732754
207,verkhnevilyuysk,63.4453,120.3167,-37.53,99,98,0.6,RU,1675732754
208,bima,-8.4667,118.7167,81.9,83,98,5.03,ID,1675732755
209,lasa,46.6166,10.7002,26.37,98,82,2.21,IT,1675732755
210,enkoping,59.6361,17.0777,33.82,94,99,7.63,SE,1675732756
211,port elizabeth,-33.918,25.5701,72.32,98,73,7.0,ZA,1675732757
212,marquette,46.5333,-87.6335,27.34,88,100,7.0,US,1675732757
213,manicore,-5.8092,-61.3003,76.95,88,0,2.3,BR,1675732758
214,krasnoselkup,65.7,82.4667,0.45,97,100,4.61,RU,1675732758
215,qandala,11.472,49.8728,73.44,78,100,4.65,SO,1675732759
216,calama,-22.4667,-68.9333,63.09,63,75,10.36,CL,1675732760
217,torbay,47.6666,-52.7314,31.87,95,100,8.01,CA,1675732181
218,aklavik,68.2191,-135.0107,-33.48,98,100,3.18,CA,1675732262
219,rogers,36.3668,-95.5836,64.11,79,100,14.97,US,1675732761
220,luang prabang,19.8856,102.1347,66.16,82,20,0.0,LA,1675732762
221,sao filipe,14.8961,-24.4956,68.32,62,69,17.05,CV,1675732707
222,mount isa,-20.7333,139.5,82.17,69,75,11.5,AU,1675732312
223,honningsvag,70.9821,25.9704,42.55,75,100,23.02,NO,1675732764
224,vao,-22.6667,167.4833,78.53,69,18,14.12,NC,1675732206
225,bitung,1.4451,125.1824,81.45,80,100,8.05,ID,1675732765
226,usinsk,65.9939,57.5281,-5.19,100,100,10.0,RU,1675732309
227,kalabo,-14.97,22.6814,67.32,94,100,4.36,ZM,1675732273
228,touho,-20.7833,165.2333,81.25,80,100,6.98,NC,1675732766
229,galesong,-5.3166,119.3661,80.62,78,100,7.92,ID,1675732290
230,mehamn,71.0357,27.8492,39.11,87,100,25.32,NO,1675732767
231,yatou,37.15,122.3833,38.26,58,100,10.51,CN,1675732768
232,guerrero negro,27.9769,-114.0611,65.39,34,85,21.45,MX,1675732768
233,clonakilty,51.6231,-8.8706,43.81,85,100,10.02,IE,1675732730
234,vangaindrano,-23.35,47.6,72.01,94,100,1.9,MG,1675732769
235,nantucket,41.2835,-70.0995,42.94,75,20,26.46,US,1675732324
236,makakilo city,21.3469,-158.0858,82.72,60,40,13.8,US,1675732770
237,tonota,-21.4833,27.4833,69.58,58,6,6.35,BW,1675732771
238,les cayes,18.2,-73.75,74.53,83,5,6.22,HT,1675732772
239,magadan,59.5667,150.8,-10.23,71,71,7.02,RU,1675732772
240,xingyi,24.1877,102.817,51.51,48,6,5.99,CN,1675732773
241,vanimo,-2.6741,141.3028,80.46,87,100,7.05,PG,1675732774
242,selikhino,50.3672,137.4996,0.61,90,100,8.41,RU,1675732775
243,misratah,32.3754,15.0925,52.95,56,20,4.29,LY,1675732776
244,svetlogorsk,52.6333,29.7333,26.33,97,100,5.21,BY,1675732777
245,bela,25.9333,81.9833,57.06,61,2,3.83,IN,1675732778
246,yerofey pavlovich,53.9667,121.9667,-12.44,86,29,0.89,RU,1675732779
247,coffs harbour,-30.3,153.1333,82.13,65,43,9.22,AU,1675732780
248,beringovskiy,63.05,179.3167,-14.31,89,100,8.59,RU,1675732780
249,hobyo,5.3505,48.5268,76.12,80,12,16.49,SO,1675732192
250,camana,-16.6228,-72.7111,76.26,83,98,6.2,PE,1675732782
251,camacha,33.0833,-16.3333,56.62,47,75,13.8,PT,1675732226
252,bonavista,48.6499,-53.1147,25.16,94,100,15.73,CA,1675732783
253,beloha,-25.1667,45.05,72.07,88,100,8.59,MG,1675732784
254,itamarandiba,-17.8572,-42.8589,67.75,93,100,2.08,BR,1675732785
255,inverell,-29.7833,151.1167,88.11,43,23,1.99,AU,1675732786
256,koslan,63.4564,48.8989,-10.55,100,100,3.78,RU,1675732786
257,new norfolk,-42.7826,147.0587,70.72,40,1,3.0,AU,1675732787
258,nanortalik,60.1432,-45.2371,4.03,90,100,11.72,GL,1675732203
259,naze,28.3667,129.4833,65.95,79,44,13.78,JP,1675732242
260,melito di porto salvo,37.9222,15.7714,43.95,65,100,3.44,IT,1675732788
261,faya,18.3851,42.4509,52.32,64,98,3.76,SA,1675732789
262,san patricio,28.017,-97.5169,70.16,81,41,17.0,US,1675732789
263,lively,46.4334,-81.1498,9.52,77,90,3.04,CA,1675732790
264,moussoro,13.6408,16.4901,69.21,18,100,13.56,TD,1675732791
265,roma,43.2128,-75.4557,27.95,77,0,5.75,US,1675732791
266,dwarka,22.2394,68.9678,68.49,84,3,7.87,IN,1675732294
267,te anau,-45.4167,167.7167,60.73,66,63,10.31,NZ,1675732296
268,tiznit,29.5833,-9.5,48.24,69,6,1.12,MA,1675732792
269,kalangala,-0.3089,32.225,73.83,67,99,4.81,UG,1675732793
270,petropavlovsk-kamchatskiy,53.0452,158.6483,13.78,62,20,6.71,RU,1675732218
271,bundaberg,-24.85,152.35,86.22,63,17,5.99,AU,1675732794
272,tevriz,57.509,72.4042,-3.95,100,98,2.82,RU,1675732289
273,tambopata,-12.7333,-69.1833,71.55,99,100,2.53,PE,1675732795
274,pemba,-12.974,40.5178,75.9,94,75,11.5,MZ,1675732796
275,krivodol,43.3744,23.4844,26.78,64,22,2.55,BG,1675732796
276,ahipara,-35.1667,173.1667,71.83,59,45,8.68,NZ,1675732347
277,xinxiang,35.3089,113.8672,41.56,52,50,1.5,CN,1675732797
278,saint anthony,45.0205,-93.218,34.72,92,100,8.05,US,1675732326
279,narsaq,60.9167,-46.05,-0.18,66,18,8.14,GL,1675732798
280,baykit,61.67,96.37,-19.52,100,95,2.24,RU,1675732333
281,camopi,3.1655,-52.3158,71.83,99,100,2.04,GF,1675732799
282,verkhnyaya maksakovka,61.635,50.9674,5.02,85,100,6.71,RU,1675732800
283,kandrian,-6.2167,149.55,78.73,91,100,5.32,PG,1675732801
284,mocuba,-16.8392,36.9856,71.73,96,100,1.7,MZ,1675732802
285,kigorobya,1.6162,31.3089,71.26,46,84,2.68,UG,1675732803
286,qostanay,53.1667,63.5833,3.49,85,75,4.47,KZ,1675732804
287,caucaia,-3.7361,-38.6531,81.03,76,40,10.36,BR,1675732805
288,weston,26.1004,-80.3998,74.01,73,100,9.22,US,1675732240
289,crotone,39.0851,17.1178,37.18,73,67,19.17,IT,1675732806
290,kargasok,59.0556,80.8572,-3.33,100,100,3.18,RU,1675732806
